,nombre,seguidores,foto,popularidad,generos
276,KEY,573817,https://i.scdn.co/image/ab6761610000e5eb6682dbe652aded53cb9175fe,55,k-pop
277,Crush,1093633,https://i.scdn.co/image/ab6761610000e5eb8e9d1c8642df6f869631fe62,68,k-pop
277,Crush,1093633,https://i.scdn.co/image/ab6761610000e5eb8e9d1c8642df6f869631fe62,68,korean r&b
278,Wanna One,1792641,https://i.scdn.co/image/ab67616d0000b27323bd8b27aeb3ad6d4f4339c4,54,k-pop
278,Wanna One,1792641,https://i.scdn.co/image/ab67616d0000b27323bd8b27aeb3ad6d4f4339c4,54,k-pop boy group
279,Robert Parker,35463,https://i.scdn.co/image/ab6761610000e5eb5e31074758c21af9149a8b14,39,synthwave
280,Doubleboy,213,,27,
281,Halogen,28558,https://i.scdn.co/image/ab6761610000e5eb23cdd09bbbf1bb585a381a8b,44,meme rap
282,Slipknot,9129608,https://i.scdn.co/image/ab6761610000e5ebec01c52d6030a1574070e308,80,alternative metal
282,Slipknot,9129608,https://i.scdn.co/image/ab6761610000e5ebec01c52d6030a1574070e308,80,nu metal
282,Slipknot,9129608,https://i.scdn.co/image/ab6761610000e5ebec01c52d6030a1574070e308,80,rap metal
283,KDrew,66615,https://i.scdn.co/image/ab6761610000e5eb0a6132ea4b0acb9bba35e119,45,brostep
283,KDrew,66615,https://i.scdn.co/image/ab6761610000e5eb0a6132ea4b0acb9bba35e119,45,complextro
283,KDrew,66615,https://i.scdn.co/image/ab6761610000e5eb0a6132ea4b0acb9bba35e119,45,edm
283,KDrew,66615,https://i.scdn.co/image/ab6761610000e5eb0a6132ea4b0acb9bba35e119,45,electro house
283,KDrew,66615,https://i.scdn.co/image/ab6761610000e5eb0a6132ea4b0acb9bba35e119,45,gaming edm
283,KDrew,66615,https://i.scdn.co/image/ab6761610000e5eb0a6132ea4b0acb9bba35e119,45,melodic dubstep
284,Skrillex,8057852,https://i.scdn.co/image/ab6761610000e5ebaa1ddbb49731cbc7edf55bd4,79,brostep
284,Skrillex,8057852,https://i.scdn.co/image/ab6761610000e5ebaa1ddbb49731cbc7edf55bd4,79,complextro
284,Skrillex,8057852,https://i.scdn.co/image/ab6761610000e5ebaa1ddbb49731cbc7edf55bd4,79,edm
284,Skrillex,8057852,https://i.scdn.co/image/ab6761610000e5ebaa1ddbb49731cbc7edf55bd4,79,electro
285,Zedd,5886699,https://i.scdn.co/image/ab6761610000e5eb7bb5ab9683125fc416c9dbfb,77,complextro
285,Zedd,5886699,https://i.scdn.co/image/ab6761610000e5eb7bb5ab9683125fc416c9dbfb,77,dance pop
285,Zedd,5886699,https://i.scdn.co/image/ab6761610000e5eb7bb5ab9683125fc416c9dbfb,77,edm
285,Zedd,5886699,https://i.scdn.co/image/ab6761610000e5eb7bb5ab9683125fc416c9dbfb,77,electro house
285,Zedd,5886699,https://i.scdn.co/image/ab6761610000e5eb7bb5ab9683125fc416c9dbfb,77,electropop
285,Zedd,5886699,https://i.scdn.co/image/ab6761610000e5eb7bb5ab9683125fc416c9dbfb,77,german techno
